Seeded Runs:
Run 1/10
   	      	                       fitness                       	                          size                         
   	      	-----------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max  	med    	min    	nevals	std  	avg    	gen	max 	med  	min	nevals	std    
70 	681   	1622.19	70 	22459  	1372.86	1362.07	681   	1687.93	2311.26	70 	2905	2314  	1005	681   	145.623
71 	675   	1593.2 	71 	15254.8	1372.74	1357.67	675   	1227.83	2305.04	71 	2794	2317  	1592	675   	130.665
72 	679   	1659.56	72 	17903.4	1372.46	1357.67	679   	1514.3 	2298.21	72 	2794	2314  	1133	679   	157.782
73 	677   	1670.42	73 	52044  	1371.24	1357.67	677   	2292.45	2283.06	73 	2760	2313  	15  	677   	176.116
74 	679   	1638.65	74 	15507.2	1370.74	1357.67	679   	1523.7 	2266.26	74 	2737	2293  	1340	679   	157.501
75 	690   	1679.38	75 	17100  	1369.94	1356.99	690   	1556.5 	2229.18	75 	2639	2226  	957 	690   	179.42 
76 	685   	1719.14	76 	36722.1	1364.71	1356.99	685   	2351.24	2206.01	76 	2741	2170  	970 	685   	176.282
77 	672   	1799.81	77 	63541.1	1363.13	1356.29	672   	3153.01	2165.91	77 	2733	2148  	250 	672   	193.11 
78 	673   	1654.6 	78 	21042.8	1362.96	1356.29	673   	1595.98	2150.28	78 	2637	2148  	1233	673   	173.036
79 	676   	1784.84	79 	37101.2	1362.07	1352.48	676   	2475.12	2146.85	79 	2581	2145  	954 	676   	167.642
80 	670   	1628.59	80 	15501.9	1359.48	1352.48	670   	1422.67	2146.86	80 	2603	2156  	1076	670   	163.832
81 	677   	1618.83	81 	15498.9	1357.81	1352.48	677   	1470.32	2139.92	81 	2651	2145.5	968 	677   	154.123
82 	679   	1808.73	82 	26278.8	1357.67	1352.48	679   	2173.41	2126.43	82 	2522	2138.5	927 	679   	145.516
83 	665   	1728.54	83 	26222.5	1357.63	1352.48	665   	1869.82	2120.24	83 	2568	2142.5	30  	665   	173.579
84 	671   	1656.97	84 	30035.3	1357.26	1352.16	671   	1762.74	2118.68	84 	2459	2139  	1234	671   	153.23 
85 	683   	1681.44	85 	16149.3	1356.99	1350.23	683   	1689.25	2114.56	85 	2457	2134  	980 	683   	149.638
86 	675   	1729.14	86 	37181.4	1356.45	1350.23	675   	2015.18	2107.02	86 	2464	2131  	966 	675   	159.384
87 	681   	1715.81	87 	39829.3	1356.28	1343.46	681   	2076.82	2097.37	87 	2551	2121  	34  	681   	174.14 
88 	683   	1710.9 	88 	17903.2	1354.47	1343.46	683   	1667.98	2083.53	88 	2495	2104  	1254	683   	151.857
89 	667   	1622.86	89 	23359.9	1353.1 	1343.46	667   	1459.59	2073.79	89 	2495	2094.5	982 	667   	161.528
90 	680   	1645.58	90 	27932  	1352.56	1343.18	680   	1627.42	2065.69	90 	2507	2088  	1185	680   	165.55 
91 	672   	1701.66	91 	27584.5	1352.5 	1342.79	672   	1917.33	2055.94	91 	2476	2087  	1047	672   	171.206
92 	669   	1685.77	92 	19638.8	1352.44	1331.07	669   	1721.69	2049.65	92 	2420	2082  	1182	669   	161.362
93 	679   	1727.79	93 	32751.4	1352.23	1331.07	679   	1970.27	2040.51	93 	2437	2084  	1164	679   	176.169
94 	674   	1780.14	94 	36938.4	1351.47	1330.61	674   	2394.72	2042.65	94 	2523	2085  	1174	674   	177.249
95 	679   	1707.12	95 	21493.4	1350.42	1328.48	679   	1794.49	2036.34	95 	2531	2079  	1115	679   	194.7  
96 	677   	1805.87	96 	45203.7	1349.17	1328.45	677   	2635.91	2057.41	96 	2535	2093.5	32  	677   	208.718
97 	682   	1818.67	97 	36310.1	1343.87	1328.45	682   	2517.45	2054.06	97 	2657	2101  	1071	682   	228.734
98 	676   	1645.43	98 	15939.5	1342.86	1328.39	676   	1620.78	2072.79	98 	2664	2113.5	931 	676   	220.954
99 	667   	1624.22	99 	21817.4	1336.07	1327.51	667   	1602.3 	2104.07	99 	2591	2127  	1191	667   	175.954
100	675   	1651.37	100	36857.1	1331.86	1327.51	675   	1869.73	2108.73	100	2515	2136  	61  	675   	184.48 
101	674   	1630   	101	24375.1	1331.08	1327.04	674   	1661.41	2112.42	101	2495	2140  	1143	674   	167.176
