"C:\Users\WhizKid2004\PycharmProjects\4P82 A2\venv\Scripts\python.exe" "C:\Users\WhizKid2004\PycharmProjects\4P82 A2\islandExperiment\seededRuns.py" 
Unseeded Runs:
Run 1/10
   	      	                        fitness                        	                          size                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max    	med    	min    	nevals	std    	avg    	gen	max 	med	min	nevals	std    
3  	675   	33601.9	3  	65492.9	32432.9	12398.2	675   	8431.22	211.126	3  	882	159	19 	675   	156.703
4  	676   	30048.2	4  	57491.3	29166.6	12398.2	676   	7683.03	218.089	4  	910	171	14 	676   	153.965
5  	682   	26993.4	5  	56544.1	26677.8	12221.4	682   	6831.14	233.866	5  	850	194.5	14 	682   	156.162
6  	684   	24600.4	6  	65403.7	24799.7	10453.1	684   	6564.46	240.553	6  	882	203  	6  	684   	159.87 
7  	669   	22399.1	7  	49916  	22913.4	8219.51	669   	5987.49	251.074	7  	867	217.5	6  	669   	153.973
8  	672   	21208.9	8  	499213 	21124.8	8219.51	672   	19233.9	247.346	8  	811	221.5	17 	672   	133.968
9  	676   	17837.6	9  	89458.1	16332  	7528.11	676   	5845.25	245.933	9  	725	221.5	33 	676   	119.219
10 	681   	16534  	10 	43374.9	14591.4	7453.11	681   	5867   	250.214	10 	727	227.5	30 	681   	114.307
11 	681   	14932.5	11 	53364.2	13464.1	7155.35	681   	5908.54	259.631	11 	708	232.5	47 	681   	120.899
12 	668   	13987.3	12 	64281.1	12930.9	6371.74	668   	5588.55	264.456	12 	801	238  	40 	668   	119.817
